Giocatore;Ruolo;Squadra;Età;Minuti Giocati;Cartellini Gialli;Cartellini Rossi;Cartellini Gialli/Rossi;Falli;Fallo Subito;Fuorigioco;Cross;Intercettazioni;Tackle Vinti;Rigori Guadagnati;Rigori Concessi;Autoreti;Recupero Palla;Aerei Vinti;Aerei Persi;Percentuale Aerei Vinti;Link Giocatore
Gianluca Busio;Cen;Venezia;22;21.4;3;0;0;20;34;3;24;14;25;1;0;0;84;21;24;46.7;https://fbref.com/it/calciatori/4a0b7f07/Gianluca-Busio
Jean Butez;Por;Como;29;12.0;0;0;0;1;1;0;0;0;0;0;1;0;33;5;0;100.0;https://fbref.com/it/calciatori/7f40333d/Jean-Butez
Liberato Cacace;Dif.Cen;Empoli;24;18.4;4;0;0;19;14;3;69;16;20;0;0;0;72;33;35;48.5;https://fbref.com/it/calciatori/dd86e8e4/Liberato-Cacace
Davide Calabria;Dif;Bologna;28;4.9;2;0;0;5;4;0;11;0;6;0;0;0;27;6;6;50.0;https://fbref.com/it/calciatori/2146785a/Davide-Calabria
Davide Calabria;Dif;Milan;28;3.5;0;0;0;3;4;0;16;8;7;0;0;0;16;2;0;100.0;https://fbref.com/it/calciatori/2146785a/Davide-Calabria
Luca Caldirola;Dif;Monza;34;5.4;2;0;0;13;7;1;1;4;3;0;0;0;9;9;8;52.9;https://fbref.com/it/calciatori/226008f1/Luca-Caldirola
Hakan Çalhanoğlu;Cen;Inter;31;16.0;3;0;0;12;12;0;99;14;16;0;1;0;83;13;17;43.3;https://fbref.com/it/calciatori/cd0fa27b/Hakan-Calhanoglu
Drissa Camara;Cen.Att;Parma;23;4.3;3;0;0;15;14;1;5;2;7;1;0;0;22;3;8;27.3;https://fbref.com/it/calciatori/543d9d2b/Drissa-Camara
Francesco Camarda;Att.Cen;Milan;17;1.8;0;0;0;6;1;2;1;0;2;0;0;0;4;5;6;45.5;https://fbref.com/it/calciatori/1956a64b/Francesco-Camarda
Nicolò Cambiaghi;Att;Bologna;24;3.4;0;0;0;5;14;0;21;2;4;1;0;0;14;3;3;50.0;https://fbref.com/it/calciatori/91ff775f/Nicolo-Cambiaghi
Andrea Cambiaso;Dif.Att;Juventus;25;20.2;4;0;0;24;20;2;41;13;23;0;0;0;94;5;10;33.3;https://fbref.com/it/calciatori/247ed022/Andrea-Cambiaso
Thomas Campaniello;Att;Empoli;17;0.3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;33.3;https://fbref.com/it/calciatori/cb88e494/Thomas-Campaniello
Matteo Cancellieri;Att.Cen;Parma;23;15.8;2;1;0;25;41;2;21;13;16;0;0;0;55;29;28;50.9;https://fbref.com/it/calciatori/b6a1cdf9/Matteo-Cancellieri
Fali Candé;Dif;Venezia;27;9.0;2;0;0;12;11;0;2;7;15;0;0;0;47;23;14;62.2;https://fbref.com/it/calciatori/3cc4bb19/Fali-Cande
Antonio Candela;Dif;Venezia;24;11.2;2;0;0;14;4;0;22;8;21;0;2;1;38;14;13;51.9;https://fbref.com/it/calciatori/d4307c52/Antonio-Candela
Gianluca Caprari;Cen.Att;Monza;31;12.1;3;0;0;13;30;3;61;3;9;0;0;0;45;3;9;25.0;https://fbref.com/it/calciatori/54e53b7e/Gianluca-Caprari
Elia Caprile;Por;Cagliari;23;11.0;0;0;0;0;5;0;0;0;0;0;0;0;12;0;0;;https://fbref.com/it/calciatori/97d7afbd/Elia-Caprile
Elia Caprile;Por;Napoli;23;3.6;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;100.0;https://fbref.com/it/calciatori/97d7afbd/Elia-Caprile
Francesco Caputo;Att;Empoli;37;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;https://fbref.com/it/calciatori/5bd72174/Francesco-Caputo
Maxence Caqueret;Cen;Como;25;6.8;2;0;0;7;3;0;8;2;11;0;0;0;33;2;5;28.6;https://fbref.com/it/calciatori/f81ef10d/Maxence-Caqueret
Andrea Carboni;Dif;Monza;24;18.5;4;0;0;26;14;0;11;21;22;0;1;0;47;29;33;46.8;https://fbref.com/it/calciatori/f7e2af2c/Andrea-Carboni
Franco Carboni;Dif;Venezia;22;2.0;1;0;0;2;2;0;7;0;3;1;0;0;12;1;0;100.0;https://fbref.com/it/calciatori/b033f803/Franco-Carboni
Marco Carnesecchi;Por;Atalanta;24;27.0;1;0;0;0;4;0;0;0;0;0;0;0;46;6;0;100.0;https://fbref.com/it/calciatori/8ec56e62/Marco-Carnesecchi
Cesare Casadei;Cen;Torino;22;5.4;0;0;0;7;6;0;2;2;4;0;1;0;25;25;11;69.4;https://fbref.com/it/calciatori/fb920f3a/Cesare-Casadei
Nicolò Casale;Dif;Bologna;27;7.7;1;0;0;17;4;0;0;13;4;0;0;1;33;29;21;58.0;https://fbref.com/it/calciatori/3f5f38fb/Nicolo-Casale
Nicolò Casale;Dif;Lazio;27;1.5;0;0;0;2;0;0;0;1;3;0;0;0;1;6;0;100.0;https://fbref.com/it/calciatori/3f5f38fb/Nicolo-Casale
Federico Cassa;Cen.Att;Atalanta;19;0.2;0;0;0;2;1;0;0;0;0;1;0;0;1;0;0;;https://fbref.com/it/calciatori/5f209d47/Federico-Cassa
Valentín Castellanos;Att;Lazio;26;19.7;6;1;0;31;32;12;22;5;4;1;0;0;38;58;51;53.2;https://fbref.com/it/calciatori/da76bab4/Valentin-Castellanos
Santiago Castro;Att;Bologna;20;23.5;5;0;0;46;49;9;7;3;9;0;0;1;66;35;63;35.7;https://fbref.com/it/calciatori/ee5565ae/Santiago-Castro
Gaetano Castrovilli;Cen;Monza;28;3.1;0;0;0;5;1;1;7;2;4;0;0;0;11;0;1;0.0;https://fbref.com/it/calciatori/0728bebe/Gaetano-Castrovilli
Gaetano Castrovilli;Cen.Att;Lazio;28;1.6;0;0;0;4;1;0;0;3;2;0;0;0;8;0;0;;https://fbref.com/it/calciatori/0728bebe/Gaetano-Castrovilli
Danilo Cataldi;Cen;Fiorentina;30;15.6;1;0;0;15;15;0;17;17;15;0;0;0;95;2;4;33.3;https://fbref.com/it/calciatori/ba3d3bea/Danilo-Cataldi
Zeki Çelik;Dif;Roma;28;17.4;3;0;0;24;7;0;29;9;23;0;1;0;58;27;19;58.7;https://fbref.com/it/calciatori/31a62dc7/Zeki-Celik
Alberto Cerri;Att;Como;28;1.0;0;0;0;3;1;2;0;0;0;0;0;0;3;4;4;50.0;https://fbref.com/it/calciatori/1079c685/Alberto-Cerri
Gabriel Charpentier;Att;Parma;25;3.0;1;0;0;13;10;0;2;0;3;1;0;0;12;9;14;39.1;https://fbref.com/it/calciatori/c52bea9e/Gabriel-Charpentier
Walid Cheddira;Att;Napoli;27;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;https://fbref.com/it/calciatori/0545a08e/Walid-Cheddira
Leandro Chichizola;Por;Parma;35;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;100.0;https://fbref.com/it/calciatori/8d957256/Leandro-Chichizola
Samuel Chukwueze;Att.Cen;Milan;25;9.3;0;0;0;2;10;3;49;2;7;0;0;0;32;6;8;42.9;https://fbref.com/it/calciatori/b8a642fc/Samuel-Chukwueze
Aaron Ciammaglichella;Cen;Torino;20;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/20525799/Aaron-Ciammaglichella
Alessandro Circati;Dif;Parma;21;4.0;1;0;0;3;2;0;0;2;2;0;0;0;5;5;3;62.5;https://fbref.com/it/calciatori/1223765c/Alessandro-Circati
Alphadjo Cissè;Att.Cen;Hellas Verona;18;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;100.0;https://fbref.com/it/calciatori/d079becb/Alphadjo-Cisse
Patrick Ciurria;Cen.Dif;Monza;30;8.9;1;0;0;11;8;0;43;5;7;0;0;0;25;4;15;21.1;https://fbref.com/it/calciatori/5de3866c/Patrick-Ciurria
Saúl Coco;Dif;Torino;26;28.0;9;0;0;49;15;0;1;37;20;0;0;1;76;56;51;52.3;https://fbref.com/it/calciatori/d0ee1652/Saul-Coco
Lorenzo Colombo;Att.Cen;Empoli;23;21.7;3;0;0;39;34;6;9;2;12;0;0;0;62;47;105;30.9;https://fbref.com/it/calciatori/04df29a5/Lorenzo-Colombo
Andrea Colpani;Att.Cen;Fiorentina;25;15.7;1;0;0;21;22;1;32;9;9;0;0;0;45;10;14;41.7;https://fbref.com/it/calciatori/6499048c/Andrea-Colpani
Florinel Coman;Att.Cen;Cagliari;26;1.5;1;0;0;5;5;0;0;1;3;0;0;0;9;2;2;50.0;https://fbref.com/it/calciatori/a9440c25/Florinel-Coman
Pietro Comuzzo;Dif;Fiorentina;20;21.4;5;0;0;22;11;0;1;24;17;0;0;0;70;59;41;59.0;https://fbref.com/it/calciatori/5e3ecc35/Pietro-Comuzzo
Francisco Conceição;Att.Cen;Juventus;22;11.7;5;1;1;19;25;2;50;4;8;0;0;0;38;1;8;11.1;https://fbref.com/it/calciatori/5ef3d210/Francisco-Conceicao
Diego Coppola;Dif;Hellas Verona;21;25.5;9;0;0;39;0;0;0;57;32;0;0;0;67;104;59;63.8;https://fbref.com/it/calciatori/22ae86f9/Diego-Coppola
Maxwel Cornet;Att.Cen;Genoa;28;2.6;0;0;0;0;1;1;8;2;1;0;0;0;13;1;8;11.1;https://fbref.com/it/calciatori/beb391dd/Maxwel-Cornet
Joaquín Correa;Att.Cen;Inter;30;3.2;1;0;0;5;6;1;3;0;1;0;0;0;14;4;10;28.6;https://fbref.com/it/calciatori/45b9b619/Joaquin-Correa
Alberto costa;Dif;Juventus;21;1.1;0;0;0;3;1;0;1;0;4;0;0;0;7;1;2;33.3;https://fbref.com/it/calciatori/4d36e5ae/Alberto-costa
Lassana Coulibaly;Cen;Lecce;28;22.5;2;0;0;28;35;0;10;15;22;1;1;0;115;21;28;42.9;https://fbref.com/it/calciatori/85a44ecc/Lassana-Coulibaly
Woyo Coulibaly;Dif;Parma;25;12.0;1;1;0;12;12;1;5;8;10;1;0;1;60;9;9;50.0;https://fbref.com/it/calciatori/beb6e3a6/Woyo-Coulibaly
Bryan Cristante;Cen;Roma;30;15.8;6;0;0;25;7;0;6;13;21;0;0;0;83;37;36;50.7;https://fbref.com/it/calciatori/16657b95/Bryan-Cristante
Domen Črnigoj;Cen;Venezia;29;1.5;0;0;0;2;4;0;2;4;2;0;0;0;8;2;5;28.6;https://fbref.com/it/calciatori/22cd43d2/Domen-Crnigoj
Juan Cuadrado;Dif.Cen;Atalanta;36;7.0;1;0;0;3;19;0;35;5;8;0;0;0;24;9;2;81.8;https://fbref.com/it/calciatori/0ab1f153/Juan-Cuadrado
Patrick Cutrone;Att;Como;27;20.3;1;0;0;20;23;18;28;3;10;1;0;0;50;22;59;27.2;https://fbref.com/it/calciatori/a4fe8cda/Patrick-Cutrone
Wylan Cyprien;Cen;Parma;30;0.3;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;;https://fbref.com/it/calciatori/3e092724/Wylan-Cyprien
Danilo D'Ambrosio;Dif;Monza;36;11.3;2;1;0;17;11;3;9;14;15;0;0;0;43;16;23;41.0;https://fbref.com/it/calciatori/44eb9093/Danilo-DAmbrosio
Lucas Da Cunha;Cen;Como;23;21.6;3;0;0;14;20;1;86;12;15;0;0;0;116;12;16;42.9;https://fbref.com/it/calciatori/007faf7a/Lucas-Da-Cunha
Samuel Dahl;Dif.Cen;Roma;25;0.5;0;0;0;2;0;0;1;0;2;0;0;0;1;0;1;0.0;https://fbref.com/it/calciatori/bbe7d20b/Samuel-Dahl
Thijs Dallinga;Att.Cen;Bologna;24;7.1;1;0;0;18;12;4;2;1;5;1;0;0;34;21;18;53.8;https://fbref.com/it/calciatori/b70afb45/Thijs-Dallinga
Maat Daniel Caprini;Att;Fiorentina;19;0.1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0.0;https://fbref.com/it/calciatori/183934cd/Maat-Daniel-Caprini
Flavius Daniliuc;Dif;Hellas Verona;23;10.0;0;0;0;11;2;0;5;7;18;0;0;0;38;17;15;53.1;https://fbref.com/it/calciatori/7ef972c3/Flavius-Daniliuc
Danilo Luiz da Silva;Dif;Juventus;33;6.5;2;0;0;11;1;0;3;9;4;0;1;0;24;16;7;69.6;https://fbref.com/it/calciatori/94b2001f/Danilo-Luiz-da-Silva
Matteo Darmian;Dif;Inter;35;13.8;2;0;0;21;15;4;23;3;13;0;1;1;25;13;12;52.0;https://fbref.com/it/calciatori/96e0490d/Matteo-Darmian
Juan David Cabal;Dif;Juventus;24;5.1;0;0;0;7;10;1;7;2;4;0;0;0;20;8;3;72.7;https://fbref.com/it/calciatori/ef6eef89/Juan-David-Cabal
Keinan Davis;Att;Udinese;27;7.9;2;0;0;16;11;4;3;1;3;0;0;0;27;21;19;52.5;https://fbref.com/it/calciatori/9deaf2c8/Keinan-Davis
Paweł Dawidowicz;Dif;Hellas Verona;29;16.0;6;1;0;27;9;0;1;17;18;0;1;0;43;26;15;63.4;https://fbref.com/it/calciatori/16bb656a/Pawel-Dawidowicz
Charles De Ketelaere;Cen.Att;Atalanta;24;19.6;1;0;0;19;34;2;46;2;8;0;0;0;69;32;31;50.8;https://fbref.com/it/calciatori/2ef7c612/Charles-De-Ketelaere
Mattia De Sciglio;Dif;Empoli;32;8.5;0;0;0;8;5;0;7;8;13;0;0;0;27;6;2;75.0;https://fbref.com/it/calciatori/ae4e2852/Mattia-De-Sciglio
Lorenzo De Silvestri;Dif;Bologna;36;8.5;1;0;0;16;6;0;13;7;6;0;0;0;19;10;12;45.5;https://fbref.com/it/calciatori/e74f0e59/Lorenzo-De-Silvestri
Koni De Winter;Dif;Genoa;22;17.1;5;0;0;30;10;1;3;15;16;0;2;0;75;63;27;70.0;https://fbref.com/it/calciatori/f4797849/Koni-De-Winter
Alessandro Deiola;Cen;Cagliari;29;12.5;4;0;0;25;10;0;13;11;16;0;0;0;51;27;25;51.9;https://fbref.com/it/calciatori/7f267d66/Alessandro-Deiola
Enrico Del Prato;Dif;Parma;25;24.7;6;0;0;14;13;0;15;18;14;0;0;0;105;33;33;50.0;https://fbref.com/it/calciatori/4c6f9258/Enrico-Del-Prato
Fisayo Dele-Bashiru;Cen.Att;Lazio;24;8.1;0;0;0;7;3;0;5;4;5;0;0;0;43;2;10;16.7;https://fbref.com/it/calciatori/121a4fb8/Fisayo-Dele-Bashiru
Ali Dembélé;Dif;Torino;21;1.4;4;1;1;3;0;0;2;0;2;0;0;0;4;2;6;25.0;https://fbref.com/it/calciatori/eb3df7d9/Ali-Dembele
Michele Di Gregorio;Por;Juventus;27;25.0;0;0;0;0;4;0;0;0;0;0;0;0;25;5;1;83.3;https://fbref.com/it/calciatori/4e0c8d66/Michele-Di-Gregorio
Giovanni Di Lorenzo;Dif;Napoli;31;30.0;4;0;0;41;39;5;58;26;38;0;0;0;79;40;39;50.6;https://fbref.com/it/calciatori/230a2fac/Giovanni-Di-Lorenzo
Boulaye Dia;Cen.Att;Lazio;28;18.6;2;0;0;19;20;3;2;5;8;1;0;0;43;14;45;23.7;https://fbref.com/it/calciatori/244bc2c8/Boulaye-Dia
Assane Diao;Att.Cen;Como;19;11.0;2;0;0;15;36;5;11;3;13;0;0;0;36;13;25;34.2;https://fbref.com/it/calciatori/8ae7d0ec/Assane-Diao
Federico Dimarco;Dif.Att;Inter;27;19.8;2;0;0;17;10;8;159;11;10;0;0;0;61;6;9;40.0;https://fbref.com/it/calciatori/970b8574/Federico-Dimarco
Berat Djimsiti;Dif;Atalanta;32;22.9;4;0;0;16;17;0;8;34;27;0;1;1;81;66;38;63.5;https://fbref.com/it/calciatori/6eee05f1/Berat-Djimsiti
Domilson Cordeiro dos Santos;Dif;Fiorentina;26;28.6;6;0;0;20;49;2;109;32;26;2;0;0;156;12;15;44.4;https://fbref.com/it/calciatori/b5f7d10b/Domilson-Cordeiro-dos-Santos
Benjamín Domínguez;Att;Bologna;21;10.8;0;0;0;6;26;3;9;4;5;0;0;0;53;0;17;0.0;https://fbref.com/it/calciatori/a83b47fa/Benjamin-Dominguez
Patrick Dorgu;Dif.Att;Lecce;20;20.4;2;1;0;24;55;4;40;18;27;1;0;1;99;31;21;59.6;https://fbref.com/it/calciatori/e6536124/Patrick-Dorgu
Alberto Dossena;Dif;Como;26;20.3;1;1;0;22;16;0;1;22;20;0;2;0;68;59;24;71.1;https://fbref.com/it/calciatori/61efb926/Alberto-Dossena
Issa Doumbia;Cen;Venezia;21;8.2;0;0;0;13;8;0;9;7;7;0;0;0;33;15;14;51.7;https://fbref.com/it/calciatori/b74fc282/Issa-Doumbia
Anastasios Douvikas;Att;Como;25;1.2;1;0;0;2;3;0;0;1;0;0;0;0;7;3;7;30.0;https://fbref.com/it/calciatori/853ca71c/Anastasios-Douvikas
Artem Dovbyk;Att;Roma;27;22.1;0;0;0;27;10;22;0;1;2;0;0;0;24;37;44;45.7;https://fbref.com/it/calciatori/5b847bb0/Artem-Dovbyk
Ondrej Duda;Cen;Hellas Verona;30;19.9;10;1;1;33;48;0;64;26;20;0;0;0;140;11;8;57.9;https://fbref.com/it/calciatori/79ca3e23/Ondrej-Duda
Denzel Dumfries;Dif.Att;Inter;28;19.6;4;0;0;51;16;5;51;6;18;2;0;0;59;53;16;76.8;https://fbref.com/it/calciatori/481c9ece/Denzel-Dumfries
Alfred Duncan;Cen;Venezia;32;10.4;2;0;0;21;11;0;17;8;8;0;0;0;52;10;8;55.6;https://fbref.com/it/calciatori/528492ea/Alfred-Duncan
Paulo Dybala;Att.Cen;Roma;31;15.7;2;0;0;6;60;6;62;2;7;2;0;0;63;8;17;32.0;https://fbref.com/it/calciatori/e0921a4f/Paulo-Dybala
Enzo Ebosse;Dif;Udinese;26;1.0;1;0;0;1;0;0;0;1;0;0;0;0;5;1;0;100.0;https://fbref.com/it/calciatori/9ba7b4fa/Enzo-Ebosse
Éderson;Cen;Atalanta;25;25.8;5;1;1;26;46;0;21;33;27;0;0;0;149;37;28;56.9;https://fbref.com/it/calciatori/a9202def/Ederson
Kingsley Ehizibue;Dif;Udinese;29;22.3;4;0;0;27;27;5;53;19;28;0;0;0;92;24;26;48.0;https://fbref.com/it/calciatori/76b2817e/Kingsley-Ehizibue
Jeff Ekhator;Att.Cen;Genoa;18;7.3;1;0;0;13;10;3;10;1;3;0;0;0;28;14;31;31.1;https://fbref.com/it/calciatori/faf739d2/Jeff-Ekhator
Jurgen Ekkelenkamp;Cen;Udinese;24;16.0;1;0;0;24;13;2;9;10;20;0;0;0;69;12;11;52.2;https://fbref.com/it/calciatori/73d6a176/Jurgen-Ekkelenkamp
Emmanuel Ekong;Cen.Att;Empoli;22;2.1;1;0;0;3;5;1;0;1;3;0;0;0;10;2;7;22.2;https://fbref.com/it/calciatori/c20892ee/Emmanuel-Ekong
Caleb Ekuban;Att;Genoa;31;5.1;1;0;0;10;8;5;3;1;3;0;0;0;16;10;14;41.7;https://fbref.com/it/calciatori/7afbd2c3/Caleb-Ekuban
Mikael Ellertsson;Dif.Cen;Venezia;23;22.5;1;0;0;18;32;2;20;13;23;0;0;0;65;11;14;44.0;https://fbref.com/it/calciatori/c55967eb/Mikael-Ellertsson
Elif Elmas;Att.Cen;Torino;25;4.6;0;0;0;10;7;2;3;5;2;0;0;0;15;1;2;33.3;https://fbref.com/it/calciatori/cf007308/Elif-Elmas
Emerson;Dif;Milan;26;15.3;5;0;0;34;32;0;45;14;28;0;0;0;59;24;14;63.2;https://fbref.com/it/calciatori/df8b52a5/Emerson
Yannik Engelhardt;Cen.Dif;Como;24;11.9;3;0;0;19;17;1;1;10;10;0;0;0;58;10;9;52.6;https://fbref.com/it/calciatori/fac66db3/Yannik-Engelhardt
Martin Erlic;Dif;Bologna;27;3.2;0;0;0;5;7;0;0;2;0;1;0;0;9;9;8;52.9;https://fbref.com/it/calciatori/0fee6bda/Martin-Erlic
Sebastiano Esposito;Cen.Att;Empoli;22;19.4;1;0;0;32;45;9;43;11;22;2;0;0;84;21;42;33.3;https://fbref.com/it/calciatori/7ff93107/Sebastiano-Esposito
Estanis;Att;Bologna;21;0.1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/ace50e9f/Estanis
Nahuel Estévez;Cen;Parma;29;6.8;2;0;0;8;9;0;10;3;4;0;0;0;27;12;1;92.3;https://fbref.com/it/calciatori/cec60a2f/Nahuel-Estevez
Giovanni Fabbian;Cen;Bologna;22;9.8;2;0;0;19;20;1;7;2;6;0;0;0;28;18;29;38.3;https://fbref.com/it/calciatori/f97f9188/Giovanni-Fabbian
Alieu Fadera;Att.Dif;Como;23;17.7;2;1;0;38;47;14;39;10;45;0;0;0;92;11;14;44.0;https://fbref.com/it/calciatori/53210e42/Alieu-Fadera
Nicolò Fagioli;Cen;Fiorentina;24;4.6;0;0;0;3;9;0;15;2;5;0;0;0;23;0;0;;https://fbref.com/it/calciatori/366be751/Nicolo-Fagioli
Nicolò Fagioli;Cen;Juventus;24;6.3;4;0;0;11;5;0;13;2;10;0;0;0;33;2;2;50.0;https://fbref.com/it/calciatori/366be751/Nicolo-Fagioli
Wladimiro Falcone;Por;Lecce;29;30.0;1;0;0;1;8;0;0;0;0;0;1;0;22;9;0;100.0;https://fbref.com/it/calciatori/9f5a610b/Wladimiro-Falcone
Davide Faraoni;Dif;Hellas Verona;33;2.9;1;0;0;7;1;2;12;2;9;0;0;0;9;1;9;10.0;https://fbref.com/it/calciatori/aae9d04a/Davide-Faraoni
Jacopo Fazzini;Cen.Att;Empoli;22;8.9;1;1;0;19;20;2;21;5;11;0;0;0;42;9;11;45.0;https://fbref.com/it/calciatori/06b08c45/Jacopo-Fazzini
Mattia Felici;Cen.Att;Cagliari;23;9.7;1;0;0;18;17;4;22;7;12;0;1;0;47;7;10;41.2;https://fbref.com/it/calciatori/38aa2612/Mattia-Felici
João Félix;Cen;Milan;25;5.3;1;0;0;6;15;2;3;0;3;0;0;0;20;4;5;44.4;https://fbref.com/it/calciatori/8aafd64f/Joao-Felix
Lewis Ferguson;Cen;Bologna;25;7.9;0;0;0;24;12;1;9;3;9;0;0;0;22;8;11;42.1;https://fbref.com/it/calciatori/ee64a822/Lewis-Ferguson
Daniel Fila;Att;Venezia;22;3.2;1;0;0;8;4;1;0;0;0;0;0;0;4;1;14;6.7;https://fbref.com/it/calciatori/383a628e/Daniel-Fila
Youssouf Fofana;Cen;Milan;26;23.3;5;0;0;25;16;0;7;17;32;0;0;0;111;11;18;37.9;https://fbref.com/it/calciatori/822d51d7/Youssouf-Fofana
Michael Folorunsho;Att.Cen;Fiorentina;27;5.6;4;0;0;11;20;0;14;3;10;0;0;0;20;14;11;56.0;https://fbref.com/it/calciatori/c391a179/Michael-Folorunsho
Michael Folorunsho;Att.Cen;Napoli;27;0.4;0;0;0;2;1;0;0;1;2;0;0;0;2;2;2;50.0;https://fbref.com/it/calciatori/c391a179/Michael-Folorunsho
Omari Forson;Cen.Att;Monza;20;0.8;0;0;0;1;0;1;4;0;2;0;0;0;4;0;1;0.0;https://fbref.com/it/calciatori/1b9728b0/Omari-Forson
Davide Frattesi;Cen;Inter;25;10.2;1;0;0;7;21;2;7;4;7;1;0;0;41;9;11;45.0;https://fbref.com/it/calciatori/2a7d27c1/Davide-Frattesi
Morten Frendrup;Cen;Genoa;23;28.5;4;0;0;42;24;1;3;39;57;0;0;0;156;26;32;44.8;https://fbref.com/it/calciatori/f4d60499/Morten-Frendrup
Martin Frese;Dif;Hellas Verona;27;3.7;0;0;0;7;7;0;7;6;7;0;0;0;7;7;7;50.0;https://fbref.com/it/calciatori/b910e9c0/Martin-Frese
Remo Freuler;Cen;Bologna;32;28.0;6;0;0;38;15;1;15;29;31;0;0;0;122;24;22;52.2;https://fbref.com/it/calciatori/98d2c2c4/Remo-Freuler
Matteo Gabbia;Dif;Milan;25;17.0;3;0;0;15;5;1;2;11;7;1;0;0;45;37;26;58.7;https://fbref.com/it/calciatori/c235e803/Matteo-Gabbia
Alessandro Gabrielloni;Att.Cen;Como;30;1.2;1;0;0;3;3;1;1;0;0;0;0;0;9;1;8;11.1;https://fbref.com/it/calciatori/181cb492/Alessandro-Gabrielloni
Gianluca Gaetano;Cen.Att;Cagliari;24;9.5;0;0;0;14;9;3;21;5;6;0;0;0;30;10;18;35.7;https://fbref.com/it/calciatori/3b387cc7/Gianluca-Gaetano
Roberto Gagliardini;Cen.Dif;Monza;30;1.2;1;0;0;4;4;0;1;1;0;0;0;0;2;4;4;50.0;https://fbref.com/it/calciatori/ce30bfc8/Roberto-Gagliardini
Antonino Gallo;Dif;Lecce;25;21.5;2;1;0;10;13;2;87;17;34;0;0;1;87;18;24;42.9;https://fbref.com/it/calciatori/c74d63ac/Antonino-Gallo
Silvère Ganvoula M'Boussy;Att;Monza;28;3.5;0;0;0;3;8;1;0;1;0;0;0;0;5;14;12;53.8;https://fbref.com/it/calciatori/6c731625/Silvere-Ganvoula-MBoussy
Federico Gatti;Dif;Juventus;26;24.3;2;0;0;20;19;1;1;18;23;1;0;0;110;36;26;58.1;https://fbref.com/it/calciatori/18dd3219/Federico-Gatti
David de Gea Quintana;Por;Fiorentina;34;27.0;0;0;0;0;2;0;0;0;0;0;0;0;15;6;0;100.0;https://fbref.com/it/calciatori/7ba6d84e/David-de-Gea-Quintana
Valentin Gendrey;Dif;Lecce;24;2.0;0;0;0;1;2;0;3;2;2;0;0;0;3;1;3;25.0;https://fbref.com/it/calciatori/822ed0ec/Valentin-Gendrey
Daniele Ghilardi;Dif;Hellas Verona;22;15.6;6;0;0;21;22;0;4;19;17;0;0;0;39;31;32;49.2;https://fbref.com/it/calciatori/9cedad4b/Daniele-Ghilardi
Lautaro Gianetti;Dif;Udinese;31;9.3;4;0;0;6;0;0;0;15;10;0;1;2;25;26;12;68.4;https://fbref.com/it/calciatori/e08ac719/Lautaro-Gianetti
Samuel Gigot;Dif;Lazio;31;4.8;2;0;0;8;6;0;0;10;1;0;1;0;8;13;4;76.5;https://fbref.com/it/calciatori/41eebdf5/Samuel-Gigot
Mario Gila;Dif;Lazio;24;24.2;6;0;0;24;27;0;0;21;30;0;0;1;114;56;52;51.9;https://fbref.com/it/calciatori/9c435456/Mario-Gila
Billy Gilmour;Cen;Napoli;23;8.4;0;0;0;10;7;0;7;6;10;0;0;0;45;8;8;50.0;https://fbref.com/it/calciatori/df10e27c/Billy-Gilmour
Santiago Giménez;Att;Milan;23;6.0;3;0;0;7;4;6;2;1;3;0;0;0;10;5;10;33.3;https://fbref.com/it/calciatori/37337aea/Santiago-Gimenez
Gvidas Gineitis;Cen;Torino;20;10.6;2;0;0;17;15;2;48;10;8;0;0;0;33;7;14;33.3;https://fbref.com/it/calciatori/548bd0de/Gvidas-Gineitis
Ben Godfrey;Dif;Atalanta;27;0.3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;;https://fbref.com/it/calciatori/9f7c837d/Ben-Godfrey
Saba Goglichidze;Dif;Empoli;20;22.3;1;1;0;20;22;1;1;27;32;0;0;0;86;21;41;33.9;https://fbref.com/it/calciatori/011d370e/Saba-Goglichidze
Edoardo Goldaniga;Dif;Como;31;21.1;10;1;1;34;20;2;6;23;16;0;0;0;57;35;24;59.3;https://fbref.com/it/calciatori/4b029b31/Edoardo-Goldaniga
Pierluigi Gollini;Por;Genoa;30;7.0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;;https://fbref.com/it/calciatori/f0f7f62f/Pierluigi-Gollini
Nicolás González;Att;Juventus;26;12.9;0;0;0;20;28;2;13;7;11;0;0;0;45;46;32;59.0;https://fbref.com/it/calciatori/2374aaca/Nicolas-Gonzalez
