Giocatore;Ruolo;Squadra;Età;Minuti Giocati;Cartellini Gialli;Cartellini Rossi;Cartellini Gialli/Rossi;Falli;Fallo Subito;Fuorigioco;Cross;Intercettazioni;Tackle Vinti;Rigori Guadagnati;Rigori Concessi;Autoreti;Recupero Palla;Aerei Vinti;Aerei Persi;Percentuale Aerei Vinti;Link Giocatore
Mattia Zaccagni;Att;Lazio;29;23.9;8;0;0;28;81;5;123;22;24;0;0;0;68;16;14;53.3;https://fbref.com/it/calciatori/d85c238b/Mattia-Zaccagni
Nicola Zalewski;Dif.Att;Roma;23;5.9;0;0;0;2;13;1;29;4;6;0;0;0;23;5;8;38.5;https://fbref.com/it/calciatori/45191c29/Nicola-Zalewski
Nicola Zalewski;Dif;Inter;23;0.9;1;0;0;2;3;0;8;0;1;0;0;0;3;0;2;0.0;https://fbref.com/it/calciatori/45191c29/Nicola-Zalewski
André-Frank Zambo Anguissa;Cen;Napoli;29;25.6;4;0;0;28;25;2;20;29;24;1;1;0;120;52;38;57.8;https://fbref.com/it/calciatori/6bb2c084/Andre-Frank-Zambo-Anguissa
Francesco Zampano;Dif;Venezia;31;17.8;5;0;0;23;19;5;47;6;20;0;0;0;75;9;18;33.3;https://fbref.com/it/calciatori/8e45910b/Francesco-Zampano
Nicolò Zaniolo;Att;Fiorentina;25;2.9;1;0;0;9;11;3;4;0;1;0;0;0;6;2;8;20.0;https://fbref.com/it/calciatori/9907b1c8/Nicolo-Zaniolo
Nicolò Zaniolo;Att.Cen;Atalanta;25;4.0;4;0;0;9;17;0;4;1;0;0;0;0;11;4;5;44.4;https://fbref.com/it/calciatori/9907b1c8/Nicolo-Zaniolo
Alessandro Zanoli;Att.Dif;Genoa;24;16.4;3;0;0;16;15;1;58;10;17;0;0;0;54;18;14;56.3;https://fbref.com/it/calciatori/3b12b11f/Alessandro-Zanoli
Duván Zapata;Att;Torino;34;6.5;1;0;0;10;8;2;3;2;5;0;0;0;15;20;28;41.7;https://fbref.com/it/calciatori/d3de9af0/Duvan-Zapata
Gabriele Zappa;Dif;Cagliari;25;27.3;3;0;0;21;15;0;54;17;19;0;0;0;99;21;21;50.0;https://fbref.com/it/calciatori/ca3db240/Gabriele-Zappa
Davide Zappacosta;Dif;Atalanta;32;17.2;1;0;0;12;12;5;69;10;10;0;0;0;59;5;10;33.3;https://fbref.com/it/calciatori/7fe90ccd/Davide-Zappacosta
Oier Zarraga;Cen;Udinese;26;6.4;0;0;0;8;5;0;17;2;9;0;0;0;20;3;10;23.1;https://fbref.com/it/calciatori/968a1c2f/Oier-Zarraga
Jordan Zemura;Dif;Udinese;25;14.0;2;0;0;20;6;2;30;15;13;0;0;0;56;6;13;31.6;https://fbref.com/it/calciatori/e8271ad9/Jordan-Zemura
Alessio Zerbin;Dif;Venezia;26;9.0;2;0;0;18;21;1;38;9;17;0;0;0;40;2;6;25.0;https://fbref.com/it/calciatori/d19ef4ef/Alessio-Zerbin
Alessio Zerbin;Att.Dif;Napoli;26;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;https://fbref.com/it/calciatori/d19ef4ef/Alessio-Zerbin
Kevin Zeroli;Cen;Monza;20;3.5;0;0;0;3;1;1;2;2;1;0;0;0;13;4;2;66.7;https://fbref.com/it/calciatori/7d6d4395/Kevin-Zeroli
Kevin Zeroli;Cen;Milan;20;0.1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;;https://fbref.com/it/calciatori/7d6d4395/Kevin-Zeroli
Piotr Zieliński;Cen;Inter;30;9.3;0;0;0;7;16;0;26;6;8;0;0;0;51;7;3;70.0;https://fbref.com/it/calciatori/a5296e55/Piotr-Zielinski
Nadir Zortea;Dif.Att;Cagliari;25;23.0;2;0;0;25;18;1;97;13;9;0;1;0;68;16;19;45.7;https://fbref.com/it/calciatori/82598b71/Nadir-Zortea
Szymon Żurkowski;Cen;Empoli;27;1.2;0;0;0;2;1;0;0;1;4;0;0;0;10;0;0;;https://fbref.com/it/calciatori/4e1d5e59/Szymon-Zurkowski
Milan Đurić;Att;Monza;34;14.1;3;0;0;17;18;5;0;2;1;0;0;0;13;132;50;72.5;https://fbref.com/it/calciatori/405f6586/Milan-Djuric
Milan Đurić;Att;Parma;34;2.1;0;0;0;1;3;0;0;0;0;0;0;0;8;15;10;60.0;https://fbref.com/it/calciatori/405f6586/Milan-Djuric
