Giornata;Giorno della Settimana;Data;Ora Inizio;Squadra di Casa;xG Casa;Risultato;xG Trasferta;Squadra Trasferta;Spettatori;Stadio;Arbitro;Link Report
5;Mar;24-09-2024;20:45;Atalanta;1.6;2–3;1.1;Como;22.977;Gewiss Stadium;Paride Tremolada;https://fbref.com/it/partite/3e592227/Atalanta-Como-24-Settembre-2024-Serie-A
6;Ven;27-09-2024;20:45;Milan;1.6;3–0;0.5;Lecce;71.103;Stadio Giuseppe Meazza;Luca Zufferli;https://fbref.com/it/partite/6d6624e2/Milan-Lecce-27-Settembre-2024-Serie-A
6;Sab;28-09-2024;15:00;Udinese;0.8;2–3;2.2;Inter;24.611;Bluenergy Stadium;Juan Luca Sacchi;https://fbref.com/it/partite/a87c6b35/Udinese-Internazionale-28-Settembre-2024-Serie-A
6;Sab;28-09-2024;18:00;Genoa;0.4;0–3;2.6;Juventus;26.599;Stadio Comunale Luigi Ferraris;Andrea Colombo;https://fbref.com/it/partite/b21bad0d/Genoa-Juventus-28-Settembre-2024-Serie-A
6;Sab;28-09-2024;20:45;Bologna;0.1;1–1;2.0;Atalanta;27.126;Stadio Renato Dall'Ara;Antonio Rapuano;https://fbref.com/it/partite/5ebd3c92/Bologna-Atalanta-28-Settembre-2024-Serie-A
6;Dom;29-09-2024;12:30;Torino;0.7;2–3;2.0;Lazio;23.130;Stadio Olimpico Grande Torino;Simone Sozza;https://fbref.com/it/partite/caf6a7d2/Torino-Lazio-29-Settembre-2024-Serie-A
6;Dom;29-09-2024;15:00;Como;2.2;3–2;1.1;Hellas Verona;9.000;Stadio Giuseppe Sinigaglia;Antonio Giua;https://fbref.com/it/partite/1b4d793e/Como-Hellas-Verona-29-Settembre-2024-Serie-A
6;Dom;29-09-2024;15:00;Roma;1.7;2–1;1.7;Venezia;62.165;Stadio Olimpico;Rosario Abisso;https://fbref.com/it/partite/ec69829c/Roma-Venezia-29-Settembre-2024-Serie-A
6;Dom;29-09-2024;18:00;Empoli;0.4;0–0;0.7;Fiorentina;13.053;Stadio Carlo Castellani - Computer Gross...;Gianluca Aureliano;https://fbref.com/it/partite/11c1605f/Empoli-Fiorentina-29-Settembre-2024-Serie-A
6;Dom;29-09-2024;20:45;Napoli;1.1;2–0;0.3;Monza;50.000;Stadio Diego Armando Maradona;Gianluca Manganiello;https://fbref.com/it/partite/54f6fa48/Napoli-Monza-29-Settembre-2024-Serie-A
6;Lun;30-09-2024;20:45;Parma;2.4;2–3;2.4;Cagliari;17.718;Stadio Ennio Tardini;Francesco Fourneau;https://fbref.com/it/partite/df2ec112/Parma-Cagliari-30-Settembre-2024-Serie-A
7;Ven;04-10-2024;18:30;Napoli;1.9;3–1;0.4;Como;50.000;Stadio Diego Armando Maradona;Ermanno Feliciani;https://fbref.com/it/partite/e474c2fe/Napoli-Como-4-Ottobre-2024-Serie-A
7;Ven;04-10-2024;20:45;Hellas Verona;2.3;2–1;0.9;Venezia;25.979;Stadio Marc'Antonio Bentegodi;Marco Guida;https://fbref.com/it/partite/f8385042/Hellas-Verona-Venezia-4-Ottobre-2024-Serie-A
